Neighborhood,ID,Accomodation,Admin/support,Agriculture,Arts,Construction,Cultural industry,Education,Finance,Health care,Management,Manufacturing,Mining,Other services,Professional,Public admin,Real estate,Retail trade,Transportation,Utilities,Wholesale trade
Clairlea-Birchmount,120,9.83,6.1,0.0,1.39,5.44,3.11,6.54,8.33,11.98,0.22,7.64,0.07,4.79,7.49,4.09,2.74,11.66,5.44,0.26,2.89
Oakridge,121,12.98,9.3,0.0,1.32,4.74,3.07,6.75,6.84,10.96,0.0,6.14,0.0,4.39,6.67,2.37,2.02,12.54,7.19,0.53,2.19
Birchcliffe-Cliffside,122,7.33,5.0,0.22,2.76,5.73,4.87,8.97,8.15,10.73,0.26,5.3,0.0,4.4,9.66,5.3,3.84,9.01,4.31,0.47,3.71
Cliffcrest,123,6.33,6.14,0.13,2.09,7.34,4.55,8.6,8.86,8.67,0.25,6.26,0.0,4.36,10.18,4.93,3.48,9.93,4.36,0.7,2.85
Kennedy Park,124,10.17,8.01,0.0,1.48,5.55,3.14,4.44,7.27,12.94,0.12,9.67,0.12,4.99,6.28,3.14,2.59,12.08,5.73,0.25,2.03
Ionview,125,10.04,7.42,0.0,1.12,4.79,3.07,4.57,7.49,13.18,0.3,9.51,0.15,5.02,6.97,3.0,2.1,12.96,4.42,0.37,3.52
Dorset Park,126,9.91,7.53,0.0,1.56,4.67,2.17,5.36,6.63,11.79,0.25,12.24,0.0,4.38,6.43,3.03,2.82,12.36,4.54,0.25,4.09
Bendale,127,7.99,7.15,0.0,1.2,4.38,2.92,6.13,8.83,11.38,0.22,9.88,0.07,4.6,8.02,4.16,1.97,11.23,5.29,0.44,4.16
Agincourt South-Malvern West,128,9.81,6.22,0.35,1.21,4.71,3.59,5.1,7.65,9.85,0.0,11.62,0.22,4.58,9.68,2.72,2.2,11.53,3.76,0.43,4.79
Agincourt North,129,11.94,5.48,0.3,1.24,5.07,2.55,4.65,7.62,9.23,0.0,14.94,0.08,4.02,7.62,2.63,1.95,11.56,4.39,0.6,4.13
Milliken,130,14.86,4.3,0.52,1.29,5.03,2.06,4.51,7.43,7.9,0.09,13.49,0.0,4.3,7.47,2.58,2.71,13.1,3.18,0.09,5.11
Rouge,131,6.81,5.91,0.13,1.51,3.59,3.64,7.11,9.78,10.97,0.27,11.56,0.17,3.66,7.69,3.95,2.56,10.51,5.32,0.57,4.29
Malvern,132,8.76,8.5,0.12,0.99,4.57,2.71,4.9,6.92,10.9,0.16,13.3,0.16,4.0,7.06,2.89,1.77,12.26,6.07,0.07,3.91
Centennial Scarborough,133,4.38,3.73,0.14,2.44,4.66,4.59,10.98,11.84,11.26,0.43,5.45,0.0,3.23,10.4,6.6,3.01,8.97,3.66,1.22,3.01
Highland Creek,134,6.49,6.03,0.31,1.24,4.64,2.7,8.27,10.28,10.82,0.54,9.43,0.0,5.1,7.57,4.17,2.4,10.36,5.1,1.16,3.4
Morningside,135,7.06,7.78,0.24,1.63,5.13,2.47,6.03,6.82,13.75,0.3,10.8,0.0,4.52,6.21,3.2,2.35,12.18,5.49,0.54,3.5
West Hill,136,7.7,8.63,0.08,1.05,6.74,2.38,7.06,6.82,12.22,0.08,8.27,0.08,4.6,6.09,3.47,2.34,12.75,5.57,0.44,3.63
Woburn,137,8.75,9.34,0.04,1.02,4.27,2.94,5.17,6.9,10.71,0.21,11.67,0.08,4.25,7.54,3.33,1.85,12.26,5.11,0.46,4.09
Eglinton East,138,11.11,8.54,0.2,1.14,5.03,2.81,4.69,6.66,12.93,0.0,9.28,0.1,5.23,6.42,2.07,2.52,12.73,5.03,0.54,2.96
Scarborough Village,139,7.75,9.51,0.0,1.62,3.66,2.61,6.62,6.69,12.33,0.28,8.74,0.0,4.79,6.2,3.59,2.82,11.77,6.77,0.63,3.59
Guildwood,140,4.85,3.82,0.0,2.17,6.4,4.75,11.46,7.64,10.42,0.21,4.54,0.41,4.23,11.15,5.57,2.37,9.49,4.54,1.44,4.54
