Neighborhood,ID,1st Most Common Language,2nd Most Common Language,3rd Most Common Language,4th Most Common Language,5th Most Common Language
Trinity-Bellwoods,81,English,Portuguese,Mandarin,Cantonese,Italian
Niagara,82,English,Spanish,Mandarin,Portuguese,French
Dufferin Grove,83,English,Portuguese,Spanish,Cantonese,Mandarin
Little Portugal,84,English,Portuguese,Cantonese,Mandarin,Vietnamese
South Parkdale,85,English,Tibetan,Polish,Tagalog,Vietnamese
Roncesvalles,86,English,Polish,Hungarian,Tibetan,Portuguese
High Park-Swansea,87,English,Polish,Serbian,Ukrainian,French
High Park North,88,English,Russian,Polish,Spanish,Serbian
Runnymede-Bloor West Village,89,English,Ukrainian,French,Polish,Greek
Junction Area,90,English,Portuguese,Vietnamese,Spanish,Cantonese
Weston-Pelham Park,91,English,Portuguese,Spanish,Italian,Vietnamese
Corso Italia-Davenport,92,English,Portuguese,Italian,Spanish,Mandarin
Dovercourt-Wallace Emerson-Junction,93,English,Portuguese,Cantonese,Spanish,Italian
Wychwood,94,English,Portuguese,Cantonese,Greek,Italian
Annex,95,English,Mandarin,French,Cantonese,Spanish
Casa Loma,96,English,Spanish,Mandarin,Russian,French
Yonge-St.Clair,97,English,Spanish,French,Persian,Russian
Rosedale-Moore Park,98,English,Mandarin,French,Spanish,Persian
Mount Pleasant East,99,English,French,Spanish,Persian,Serbian
Yonge-Eglinton,100,English,Spanish,Mandarin,Korean,French
Forest Hill South,101,English,Mandarin,Russian,French,Spanish
Forest Hill North,102,English,Tagalog,Russian,Spanish,Hebrew
Lawrence Park South,103,English,Mandarin,French,Persian,Russian
Mount Pleasant West,104,English,Persian,Spanish,Russian,Korean
Lawrence Park North,105,English,Mandarin,Persian,French,Spanish
Humewood-Cedarvale,106,English,Tagalog,Spanish,Portuguese,Greek
Oakwood Village,107,English,Portuguese,Spanish,Italian,Tagalog
Briar Hill-Belgravia,108,English,Tagalog,Portuguese,Spanish,Italian
Caledonia-Fairbank,109,English,Portuguese,Spanish,Italian,Tagalog
Keelesdale-Eglinton West,110,English,Portuguese,Spanish,Italian,Tagalog
Rockcliffe-Smythe,111,English,Portuguese,Spanish,Vietnamese,Italian
Beechborough-Greenbrook,112,English,Portuguese,Spanish,Italian,Tagalog
Weston,113,English,Spanish,Somali,Portuguese,Vietnamese
Lambton Baby Point,114,English,Ukrainian,Spanish,Polish,French
Mount Dennis,115,English,Spanish,Portuguese,Vietnamese,Tagalog
Steeles,116,English,Cantonese,Mandarin,Arabic,Min Nan
L'Amoreaux,117,English,Mandarin,Cantonese,Tamil,Armenian
Tam O'Shanter-Sullivan,118,English,Mandarin,Cantonese,Tamil,Tagalog
Wexford/Maryvale,119,English,Tagalog,Tamil,Mandarin,Arabic
Clairlea-Birchmount,120,English,Bengali,Tagalog,Mandarin,Cantonese
Oakridge,121,English,Bengali,Cantonese,Urdu,Persian
Birchcliffe-Cliffside,122,English,Bengali,Cantonese,French,Tagalog
Cliffcrest,123,English,Bengali,Tamil,Mandarin,Cantonese
Kennedy Park,124,English,Bengali,Tamil,Tagalog,Cantonese
Ionview,125,English,Tamil,Tagalog,Bengali,Cantonese
Dorset Park,126,English,Tamil,Tagalog,Cantonese,Mandarin
Bendale,127,English,Mandarin,Tamil,Cantonese,Tagalog
Agincourt South-Malvern West,128,English,Cantonese,Mandarin,Tamil,Gujarati
Agincourt North,129,English,Cantonese,Mandarin,Tamil,Tagalog
Milliken,130,Cantonese,English,Mandarin,Tamil,Tagalog
Rouge,131,English,Tamil,Tagalog,Urdu,Cantonese
Malvern,132,English,Tamil,Cantonese,Tagalog,Urdu
Centennial Scarborough,133,English,Tamil,Tagalog,Mandarin,Bengali
Highland Creek,134,English,Tamil,Cantonese,Mandarin,Tagalog
Morningside,135,English,Tamil,Tagalog,Urdu,Mandarin
West Hill,136,English,Tamil,Tagalog,Bengali,Urdu
Woburn,137,English,Gujarati,Tamil,Urdu,Mandarin
Eglinton East,138,English,Tamil,Tagalog,Bengali,Cantonese
Scarborough Village,139,English,Tamil,Urdu,Bengali,Persian
Guildwood,140,English,Bengali,Tagalog,Tamil,Mandarin
