,Websites,ID,Avg House Price,Avg Income
100,/yonge-dundas-square-toronto/neighbourhood-profile,75,705000,88000
101,/bay-street-corridor-toronto/neighbourhood-profile,76,877000,88000
102,/financial-district-toronto/neighbourhood-profile,76,845000,238000
103,/south-core-toronto/neighbourhood-profile,77,733000,116000
104,/st-lawrence-toronto/neighbourhood-profile,77,816000,109000
105,/harbourfront-toronto/neighbourhood-profile,77,883000,142000
106,/west-don-lands-toronto/neighbourhood-profile,77,671000,121000
107,/harbourfront-east-toronto/neighbourhood-profile,77,1000000,175000
108,/entertainment-district-toronto/neighbourhood-profile,77,828000,133000
109,/fashion-district-toronto/neighbourhood-profile,77,794000,141000
110,/cityplace-toronto/neighbourhood-profile,77,706000,102000
111,/distillery-district-toronto/neighbourhood-profile,77,796000,152000
112,/chinatown-toronto/neighbourhood-profile,78,928000,83000
113,/kensington-market-toronto/neighbourhood-profile,78,1200000,77000
114,/alexandra-park-toronto/neighbourhood-profile,78,760000,72000
115,/south-annex-toronto/neighbourhood-profile,79,1700000,131000
116,/bickford-park-toronto/neighbourhood-profile,80,1600000,120000
117,/little-italy-toronto/neighbourhood-profile,81,1600000,125000
118,/trinity-bellwoods-toronto/neighbourhood-profile,81,1300000,129000
119,/liberty-village-toronto/neighbourhood-profile,82,714000,110000
120,/trinity-niagara-toronto/neighbourhood-profile,82,852000,157000
121,/fort-york-toronto/neighbourhood-profile,82,674000,107000
122,/brockton-village-toronto/neighbourhood-profile,83,1100000,93000
123,/dufferin-grove-toronto/neighbourhood-profile,83,1400000,98000
124,/beaconsfield-toronto/neighbourhood-profile,84,773000,108000
125,/south-parkdale-toronto/neighbourhood-profile,85,1300000,61000
126,/roncesvalles-toronto/neighbourhood-profile,86,1200000,107000
127,/swansea-toronto/neighbourhood-profile,87,985000,140000
128,/high-park-toronto/neighbourhood-profile,87,1500000,120000
129,/high-park-toronto/neighbourhood-profile,88,1500000,120000
130,/bloor-west-village-toronto/neighbourhood-profile,89,1600000,191000
131,/harwood-toronto/neighbourhood-profile,90,833000,97000
132,/the-junction-toronto/neighbourhood-profile,90,1000000,114000
133,/carleton-village-toronto/neighbourhood-profile,91,941000,73000
134,/earlscourt-corso-italia-toronto/neighbourhood-profile,92,961000,99000
135,/regal-heights-toronto/neighbourhood-profile,92,1900000,133000
136,/christie-pits-toronto/neighbourhood-profile,93,1300000,106000
137,/davenport-toronto/neighbourhood-profile,93,981000,103000
138,/dovercourt-park-toronto/neighbourhood-profile,93,1300000,103000
139,/wallace-emerson-toronto/neighbourhood-profile,93,949000,85000
140,/hillcrest-toronto/neighbourhood-profile,94,1500000,135000
141,/yorkville-toronto/neighbourhood-profile,95,1500000,333000
142,/seaton-village-toronto/neighbourhood-profile,95,1400000,142000
143,/the-annex-toronto/neighbourhood-profile,95,2000000,160000
144,/casa-loma-toronto/neighbourhood-profile,96,1400000,237000
145,/south-hill-toronto/neighbourhood-profile,96,1900000,447000
146,/rathnelly-toronto/neighbourhood-profile,96,1100000,221000
147,/deer-park-toronto/neighbourhood-profile,97,1500000,177000
148,/summerhill-toronto/neighbourhood-profile,97,2300000,302000
149,/rosedale-toronto/neighbourhood-profile,98,2500000,481000
150,/moore-park-toronto/neighbourhood-profile,98,2600000,660000
151,/davisville-toronto/neighbourhood-profile,99,1100000,129000
152,/chaplin-estates-toronto/neighbourhood-profile,100,1500000,222000
153,/forest-hill-toronto/neighbourhood-profile,101,3200000,366000
154,/forest-hill-north-toronto/neighbourhood-profile,102,2100000,198000
155,/north-toronto-toronto/neighbourhood-profile,103,1100000,139000
156,/lytton-park-toronto/neighbourhood-profile,103,2200000,388000
157,/allenby-toronto/neighbourhood-profile,103,1900000,260000
158,/davisville-toronto/neighbourhood-profile,104,1100000,129000
159,/teddington-park-toronto/neighbourhood-profile,105,3700000,406000
160,/bedford-park-toronto/neighbourhood-profile,105,1800000,241000
161,/humewood-cedarvale-toronto/neighbourhood-profile,106,1400000,133000
162,/oakwood-vaughan-toronto/neighbourhood-profile,107,1100000,93000
163,/briar-hill-belgravia-toronto/neighbourhood-profile,108,841000,86000
164,/fairbank-toronto/neighbourhood-profile,109,943000,89000
165,/keelesdale-toronto/neighbourhood-profile,110,805000,84000
166,/rockcliffe-smythe-toronto/neighbourhood-profile,111,840000,76000
167,/beechborough-greenbrook-toronto/neighbourhood-profile,112,997000,73000
168,/weston-toronto/neighbourhood-profile,113,695000,70000
169,/lambton-toronto/neighbourhood-profile,114,1200000,101000
170,/baby-point-toronto/neighbourhood-profile,114,2400000,278000
171,/old-mill-toronto/neighbourhood-profile,114,1300000,227000
172,/mount-dennis-toronto/neighbourhood-profile,115,691000,74000
173,/steeles-toronto/neighbourhood-profile,116,812000,96000
174,/lamoreaux-toronto/neighbourhood-profile,117,732000,93000
175,/tam-oshanter-sullivan-toronto/neighbourhood-profile,118,768000,81000
176,/wexford-toronto/neighbourhood-profile,119,856000,87000
177,/maryvale-toronto/neighbourhood-profile,119,950000,98000
178,/birchmount-park-toronto/neighbourhood-profile,120,773000,99000
179,/clairlea-toronto/neighbourhood-profile,120,900000,96000
180,/oakridge-toronto/neighbourhood-profile,121,808000,61000
181,/birchcliff-toronto/neighbourhood-profile,122,1100000,128000
182,/cliffside-toronto/neighbourhood-profile,122,939000,101000
183,/cliffcrest-toronto/neighbourhood-profile,123,1100000,112000
184,/kennedy-park-toronto/neighbourhood-profile,124,712000,74000
185,/ionview-toronto/neighbourhood-profile,125,726000,75000
186,/dorset-park-toronto/neighbourhood-profile,126,614000,81000
187,/bendale-toronto/neighbourhood-profile,127,651000,84000
188,/agincourt-toronto/neighbourhood-profile,128,687000,92000
189,/agincourt-toronto/neighbourhood-profile,129,687000,92000
190,/milliken-toronto/neighbourhood-profile,130,764000,91000
191,/rouge-park-toronto/neighbourhood-profile,131,730000,106000
192,/west-rouge-toronto/neighbourhood-profile,131,981000,156000
193,/malvern-toronto/neighbourhood-profile,132,585000,90000
194,/port-union-toronto/neighbourhood-profile,133,1000000,152000
195,/highland-creek-toronto/neighbourhood-profile,134,1100000,134000
196,/morningside-toronto/neighbourhood-profile,135,683000,88000
197,/morningside-heights-toronto/neighbourhood-profile,135,977000,124000
198,/west-hill-toronto/neighbourhood-profile,136,683000,82000
199,/woburn-toronto/neighbourhood-profile,137,849000,78000
200,/eglinton-east-toronto/neighbourhood-profile,138,644000,76000
201,/scarborough-village-toronto/neighbourhood-profile,139,687000,76000
202,/guildwood-toronto/neighbourhood-profile,140,888000,126000
