,Neighborhood,ID,Afghan Restaurant,African Restaurant,American Restaurant,Asian Restaurant,BBQ Joint,Bagel Shop,Bakery,Bistro,Brazilian Restaurant,Breakfast Spot,Burger Joint,Burrito Place,Café,Cajun / Creole Restaurant,Cantonese Restaurant,Caribbean Restaurant,Caucasian Restaurant,Chinese Restaurant,Comfort Food Restaurant,Creperie,Cuban Restaurant,Czech Restaurant,Deli / Bodega,Dim Sum Restaurant,Diner,Doner Restaurant,Donut Shop,Dumpling Restaurant,Eastern European Restaurant,Egyptian Restaurant,Ethiopian Restaurant,Falafel Restaurant,Fast Food Restaurant,Filipino Restaurant,Fish & Chips Shop,Food,Food Court,Food Truck,French Restaurant,Fried Chicken Joint,Gastropub,Greek Restaurant,Hakka Restaurant,Hotpot Restaurant,Hungarian Restaurant,Indian Chinese Restaurant,Indian Restaurant,Indonesian Restaurant,Irish Pub,Italian Restaurant,Japanese Restaurant,Kebab Restaurant,Korean Restaurant,Latin American Restaurant,Malay Restaurant,Mediterranean Restaurant,Mexican Restaurant,Middle Eastern Restaurant,New American Restaurant,Noodle House,Pakistani Restaurant,Persian Restaurant,Peruvian Restaurant,Pizza Place,Poke Place,Portuguese Restaurant,Poutine Place,Ramen Restaurant,Restaurant,Salad Place,Sandwich Place,Seafood Restaurant,Snack Place,Soup Place,South American Restaurant,Souvlaki Shop,Spanish Restaurant,Sri Lankan Restaurant,Steakhouse,Sushi Restaurant,Szechuan Restaurant,Taco Place,Tapas Restaurant,Thai Restaurant,Theme Restaurant,Tibetan Restaurant,Turkish Restaurant,Vegetarian / Vegan Restaurant,Vietnamese Restaurant,Wings Joint,Xinjiang Restaurant
41,Banbury-Don Mills,42,1,0,1,0,1,1,5,0,0,0,1,0,5,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,2,3,0,0,0,0,2,1,6,1,0,1,1,0,1,0,0,0,0,4,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
42,Victoria Village,43,1,0,2,1,1,1,4,0,0,1,2,2,1,0,1,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,2,0,1,0,0,1,1,6,1,0,0,0,0,0,0,0,0,0,4,0,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0
43,Flemingdon Park,44,1,0,2,1,1,0,4,0,0,1,0,0,7,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,2,3,0,0,1,0,3,0,0,1,1,0,0,0,0,0,1,3,1,0,0,0,0,2,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,1,0,0
44,Parkwoods-Donalda,45,0,0,2,0,0,1,4,0,0,1,3,1,2,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,3,3,0,1,0,0,2,1,10,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
45,Pleasant View,46,0,0,1,0,2,1,7,0,0,1,1,2,0,0,1,5,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,2,1,0,0,0,0,1,1,2,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,1,0,0
46,Don Valley Village,47,0,0,1,0,2,2,6,0,0,3,1,1,1,0,1,5,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,1,0,1,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,1,0,0
47,Hillcrest Village,48,0,0,1,0,2,1,6,0,0,3,1,1,0,0,1,4,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,2,4,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,1,0,0
48,Bayview Woods-Steeles,49,0,0,1,0,1,1,6,0,0,2,1,0,1,0,1,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,7,0,0,0,0,3,0,0,0,0,0,1,0,0,0,1,1,0,0,2,0,0,0,0,0,0,1,2,1,0,0,2,0,0,0,1,0,1,0
49,Newtonbrook East,50,0,0,0,0,0,3,3,0,0,1,1,0,3,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,2,0,9,0,0,0,0,4,0,0,0,1,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,3,1,0,0,2,0,0,0,1,1,1,0
50,Willowdale East,51,0,0,0,0,0,1,3,0,0,1,2,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,3,0,10,0,0,1,0,4,0,0,0,1,0,3,1,0,0,3,2,0,1,1,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0
51,Bayview Village,52,0,0,1,0,0,1,5,0,0,2,2,0,1,0,0,3,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,3,0,5,0,0,2,0,4,0,0,0,1,0,2,0,0,0,1,2,0,0,2,0,0,0,0,0,0,1,2,1,0,0,2,0,0,0,0,0,0,0
52,Henry Farm,53,0,0,2,0,0,1,5,0,0,2,2,2,2,0,1,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,2,1,0,0,0,0,2,2,6,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0
53,O'Connor-Parkview,54,1,0,1,1,2,1,5,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,3,3,0,0,1,0,2,0,0,1,1,0,0,0,0,0,1,4,1,0,0,0,0,2,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,1,1,0,0
54,Thorncliffe Park,55,1,0,1,0,3,1,4,0,0,0,0,0,10,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,2,4,0,0,0,0,3,0,0,5,1,0,0,0,0,0,1,1,1,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
55,Leaside-Bennington,56,1,0,1,1,2,2,5,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,3,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,1,0,0,0
56,Broadview North,57,0,0,1,1,3,0,4,0,0,1,2,0,7,0,0,1,0,0,0,0,1,0,0,0,2,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,2,6,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,1,0,0
57,Old East York,58,1,0,1,2,2,0,3,0,0,1,1,1,7,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,3,4,0,0,1,0,3,0,0,2,1,0,0,1,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
58,Danforth East York,59,1,0,1,2,2,0,2,0,0,1,1,1,7,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,3,4,0,0,1,0,1,0,0,2,0,0,0,1,0,0,0,2,0,0,1,0,0,5,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0
59,Woodbine-Lumsden,60,0,0,2,1,3,1,4,0,0,3,0,1,4,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,5,2,0,0,1,0,3,0,0,1,1,0,0,0,0,1,0,2,0,0,0,0,0,4,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
60,Taylor-Massey,61,0,0,2,2,2,1,3,0,0,3,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,0,1,0,5,0,0,0,1,0,3,0,0,0,1,0,0,0,0,2,1,2,0,0,0,0,0,3,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0
61,East End-Danforth,62,0,0,2,1,2,1,2,0,0,4,0,1,3,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,1,0,0,0,1,0,5,0,0,0,1,0,2,0,0,0,1,0,0,1,0,2,1,2,0,0,0,0,0,5,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
62,The Beaches,63,0,0,2,1,2,1,4,0,0,4,0,1,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,4,0,0,0,1,0,2,0,0,0,2,0,0,1,0,2,1,1,0,0,1,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0
63,Woodbine Corridor,64,0,0,2,1,2,1,2,0,0,1,0,1,7,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,4,2,0,0,1,0,2,0,0,1,0,0,0,1,0,2,0,2,0,0,1,0,0,5,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0
64,Greenwood-Coxwell,65,0,0,2,2,1,0,1,0,0,1,0,1,7,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,3,3,0,0,1,0,3,0,0,1,0,0,0,1,0,1,0,3,0,0,1,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,2,0,0
65,Danforth,66,0,0,2,3,1,0,2,0,0,2,1,1,8,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,3,4,0,0,1,0,2,0,0,2,0,0,0,1,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0
66,Playter Estates-Danforth,67,0,0,1,1,2,0,2,0,0,0,1,0,8,0,0,1,0,0,0,0,1,0,0,0,3,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,3,5,0,0,0,0,0,0,0,2,2,0,0,1,0,0,0,1,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,0,1,0,1,0,0
67,North Riverdale,68,0,0,1,2,1,0,3,0,0,0,1,1,7,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,3,4,0,0,0,0,0,0,0,2,2,0,0,1,0,1,0,1,0,0,0,0,0,4,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,1,2,0,0,1,0,1,0,0
68,Blake-Jones,69,0,0,1,2,1,0,2,0,0,0,1,1,7,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,3,4,0,0,1,0,1,0,0,2,0,0,0,1,0,1,0,1,0,0,1,0,0,5,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,2,0,0
69,South Riverdale,70,0,0,2,2,0,0,1,1,0,0,0,0,9,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,1,1,0,0,0,0,1,0,0,4,4,0,0,1,0,1,1,2,0,0,0,0,0,3,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,1,0,0
70,Cabbagetown-South St.James Town,71,0,0,2,1,1,0,1,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,4,2,0,0,0,0,0,0,0,5,4,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,1,2,0,1,0,0,0,0,0,0,0,1,1,0,1,1,3,1,0,0,0,1,0,0
71,Regent Park,72,0,0,1,1,0,0,2,1,0,0,0,0,8,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,4,1,0,0,0,0,0,0,0,3,4,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,1,3,0,1,0,0,0,0,0,0,0,1,0,0,1,1,3,1,0,0,1,1,0,0
72,Moss Park,73,0,0,1,1,0,0,1,1,0,0,0,0,7,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,5,0,0,0,0,0,0,0,0,3,5,0,0,0,0,1,0,2,1,0,0,0,0,1,0,0,0,1,6,0,1,0,0,0,0,0,0,0,1,0,0,0,0,4,1,0,0,1,0,0,0
73,North St.James Town,74,0,0,1,1,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,4,1,0,0,0,0,0,0,0,7,5,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,4,0,1,0,0,0,0,0,0,0,1,2,0,0,1,3,1,0,0,0,1,0,0
74,Church-Yonge Corridor,75,0,0,2,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,5,0,0,0,0,0,0,0,0,3,4,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,0,1,5,0,1,0,0,0,0,0,0,0,1,2,0,0,0,5,1,0,0,1,0,0,0
75,Bay Street Corridor,76,0,0,2,1,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,4,0,0,0,0,0,0,0,0,3,4,0,0,0,0,1,1,1,1,0,0,0,0,3,1,1,0,2,5,0,2,0,0,0,0,1,0,0,1,1,0,0,0,3,1,0,0,0,0,0,0
76,Waterfront Communities-The Island,77,0,0,2,1,0,0,1,1,0,0,0,0,6,0,0,2,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,0,0,0,0,0,0,0,0,4,3,0,0,0,0,1,1,1,0,0,0,0,1,3,0,0,0,1,5,0,2,2,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0
77,Kensington-Chinatown,78,0,0,2,2,0,0,3,0,0,0,2,0,8,0,0,2,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,3,1,0,0,0,0,1,3,0,0,0,0,4,0,4,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0
78,University,79,0,0,0,2,1,0,3,0,0,0,2,0,8,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,1,0,1,0,0,1,3,0,0,0,0,0,0,2,0,1,0,1,4,0,4,0,0,0,1,1,0,0,0,1,0,0,2,2,1,0,0,1,0,0,0
79,Palmerston-Little Italy,80,0,0,1,3,0,0,4,0,0,0,3,0,8,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,1,0,2,0,0,0,3,2,1,0,0,0,0,3,0,0,0,0,3,0,3,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0
80,Trinity-Bellwoods,81,0,0,2,3,0,0,3,0,0,0,1,0,7,0,0,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3,1,0,1,0,0,0,3,2,1,0,0,0,0,3,0,0,0,0,3,0,3,1,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,1,1,0,0
81,Niagara,82,0,0,2,2,0,0,3,0,0,0,0,0,7,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4,1,0,1,0,0,1,2,1,1,0,0,0,1,3,0,0,0,1,4,0,3,1,0,0,0,0,0,0,0,0,0,1,2,1,0,1,0,0,1,0,0
82,Dufferin Grove,83,0,0,1,3,0,0,2,0,1,0,1,0,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,4,1,0,2,0,0,0,1,2,1,0,0,0,0,3,0,0,0,0,5,0,1,1,0,0,1,0,0,0,0,0,0,0,2,0,0,1,0,0,2,0,0
83,Little Portugal,84,0,0,2,2,0,0,3,0,0,0,1,0,8,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,5,1,0,1,0,0,0,2,2,1,0,0,0,0,3,0,0,0,0,3,0,3,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,0,0,3,0,0
84,South Parkdale,85,0,0,2,2,0,0,3,0,0,0,1,0,5,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,5,1,0,1,0,0,0,2,2,1,0,0,0,0,3,0,0,0,0,3,0,3,1,0,0,1,0,0,0,0,1,0,1,2,0,0,1,0,0,3,0,0
85,Roncesvalles,86,0,0,2,2,0,0,3,0,0,0,1,0,9,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,5,1,0,2,0,0,0,1,2,1,0,0,0,0,3,0,0,0,0,3,0,2,1,0,0,1,0,0,0,0,0,0,0,2,0,0,1,0,0,3,0,0
86,High Park-Swansea,87,0,0,0,1,0,0,4,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3,1,0,0,0,0,2,0,0,6,1,0,0,1,0,0,0,1,0,0,0,0,0,4,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,1,0,1,2,1,0,1,0,0,1,0,0
87,High Park North,88,0,0,1,0,1,0,5,0,0,0,0,0,12,0,0,0,0,0,0,0,1,0,2,0,1,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,1,0,0,6,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,3,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
88,Runnymede-Bloor West Village,89,0,0,1,0,1,0,6,0,1,1,0,0,8,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,1,0,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,3,0,1,2,1,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0
89,Junction Area,90,0,0,1,0,2,0,6,0,2,0,0,0,11,1,0,0,0,0,0,0,1,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,7,0,0,0,0,0,0,1,1,0,0,0,0,0,3,0,0,0,0,2,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
90,Weston-Pellam Park,91,0,0,0,0,3,0,5,0,2,0,0,0,13,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,7,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,2,0,1,1,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
91,Corso Italia-Davenport,92,0,0,0,0,2,0,4,0,2,0,0,0,13,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,7,1,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,2,0,1,1,1,1,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
92,Dovercourt-Wallace Emerson-Junction,93,0,0,0,3,1,0,2,0,1,0,0,0,13,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,6,1,0,1,0,0,0,1,2,0,0,0,0,0,2,0,0,0,0,4,0,1,1,1,1,2,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0
93,Wychwood,94,0,0,0,2,1,1,2,0,1,0,1,0,12,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,0,0,0,0,1,0,0,4,1,0,1,0,0,0,2,2,0,0,0,0,0,1,0,1,0,0,2,0,1,1,0,0,1,0,0,0,0,1,0,0,2,1,0,0,0,0,1,0,0
94,Annex,95,0,0,0,2,2,0,1,0,0,0,2,0,12,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,1,0,0,2,1,0,1,0,0,0,2,0,0,0,0,0,0,1,0,1,0,1,2,0,3,0,0,0,1,0,0,0,1,2,0,0,2,1,1,0,0,1,0,0,0
95,Casa Loma,96,0,0,0,1,2,1,1,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,7,1,0,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,2,0,0,0,0,2,0,0,2,1,1,0,0,0,0,0,0
96,Yonge-St.Clair,97,0,0,0,0,2,1,1,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,4,0,0,0,0,0,2,1,0,9,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,0,1,0,0,0,1,0,0,0,1,2,0,0,1,1,1,0,0,0,0,0,0
97,Rosedale-Moore Park,98,0,0,1,1,1,1,2,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,5,2,0,0,0,0,1,0,0,7,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,2,0,1,0,0,0,0,0,0,0,1,2,0,0,1,2,1,0,0,0,0,0,0
98,Mount Pleasant East,99,0,0,0,1,2,2,4,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,0,0,2,1,0,10,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,2,1,0,1,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,2,1,0,0
99,Yonge-Eglinton,100,0,0,0,0,2,2,2,0,0,1,1,0,5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,0,0,3,1,0,9,1,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,1,2,1,1,1,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,2,1,0,0
100,Forest Hill South,101,0,0,0,0,2,1,2,0,1,1,0,0,10,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,1,0,11,2,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,2,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0
101,Forest Hill North,102,0,0,0,0,2,2,3,0,1,1,0,0,8,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,1,0,11,2,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0
102,Lawrence Park South,103,0,0,0,1,4,3,5,0,0,1,1,0,8,0,0,1,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,3,1,0,7,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
103,Mount Pleasant West,104,0,0,0,1,3,2,6,0,0,1,1,0,7,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,3,1,0,9,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,2,1,0,0,0,0,0,0
104,Lawrence Park North,105,0,0,0,1,2,1,6,0,0,1,1,0,7,0,1,1,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,2,1,0,7,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2,0,1,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0
105,Humewood-Cedarvale,106,0,0,0,0,3,3,3,0,1,1,0,0,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,11,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
106,Oakwood Village,107,0,0,0,0,2,2,3,0,2,0,0,0,14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,1,0,0,6,1,0,1,0,0,0,1,3,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
107,Briar Hill-Belgravia,108,0,0,0,0,3,1,3,0,2,1,0,0,7,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,3,2,0,0,0,0,1,0,0,6,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,2,0,1,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
