,Neighborhood,ID,Afghan Restaurant,African Restaurant,American Restaurant,Asian Restaurant,BBQ Joint,Bagel Shop,Bakery,Bistro,Brazilian Restaurant,Breakfast Spot,Burger Joint,Burrito Place,Café,Cajun / Creole Restaurant,Cantonese Restaurant,Caribbean Restaurant,Caucasian Restaurant,Chinese Restaurant,Comfort Food Restaurant,Creperie,Cuban Restaurant,Czech Restaurant,Deli / Bodega,Dim Sum Restaurant,Diner,Doner Restaurant,Donut Shop,Dumpling Restaurant,Eastern European Restaurant,Egyptian Restaurant,Ethiopian Restaurant,Falafel Restaurant,Fast Food Restaurant,Filipino Restaurant,Fish & Chips Shop,Food,Food Court,Food Truck,French Restaurant,Fried Chicken Joint,Gastropub,Greek Restaurant,Hakka Restaurant,Hotpot Restaurant,Hungarian Restaurant,Indian Chinese Restaurant,Indian Restaurant,Indonesian Restaurant,Irish Pub,Italian Restaurant,Japanese Restaurant,Kebab Restaurant,Korean Restaurant,Latin American Restaurant,Malay Restaurant,Mediterranean Restaurant,Mexican Restaurant,Middle Eastern Restaurant,New American Restaurant,Noodle House,Pakistani Restaurant,Persian Restaurant,Peruvian Restaurant,Pizza Place,Poke Place,Portuguese Restaurant,Poutine Place,Ramen Restaurant,Restaurant,Salad Place,Sandwich Place,Seafood Restaurant,Snack Place,Soup Place,South American Restaurant,Souvlaki Shop,Spanish Restaurant,Sri Lankan Restaurant,Steakhouse,Sushi Restaurant,Szechuan Restaurant,Taco Place,Tapas Restaurant,Thai Restaurant,Theme Restaurant,Tibetan Restaurant,Turkish Restaurant,Vegetarian / Vegan Restaurant,Vietnamese Restaurant,Wings Joint,Xinjiang Restaurant
11,Markland Wood,12,0,0,1,1,1,0,5,0,0,2,4,4,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,2,1,0,0,0,0,2,0,1,0,0,1,0,4,2,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,3,0,0
12,Etobicoke West Mall,13,0,0,0,1,0,0,4,0,0,2,4,3,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,2,1,0,0,0,0,1,0,1,0,0,2,0,3,3,0,0,0,0,0,0,1,0,0,0,2,1,0,0,2,0,2,1,0
13,Islington-City Centre West,14,0,0,0,0,1,0,4,0,0,3,3,2,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,2,1,0,0,0,0,4,0,1,0,0,2,0,1,3,0,0,0,0,0,0,0,2,0,0,2,2,0,0,2,0,2,1,0
14,Kingsway South,15,0,0,0,0,0,0,4,0,0,1,2,2,6,0,0,0,0,0,1,0,1,0,2,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,0,2,1,1,0,0,0,0,0,3,0,0,2,2,0,0,1,0,0,1,0
15,Stonegate-Queensway,16,0,0,0,0,1,0,3,0,0,1,2,2,4,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,9,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,5,0,1,2,3,0,0,1,0,0,1,0
16,Mimico,17,0,0,0,0,1,0,2,0,0,4,2,2,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,8,1,0,0,0,0,0,1,1,0,0,0,0,0,4,0,0,0,0,2,0,1,2,0,0,0,0,1,0,0,5,0,0,1,2,0,0,0,0,0,1,0
17,New Toronto,18,0,0,0,0,1,0,4,0,0,3,2,3,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,5,1,0,0,0,0,0,1,2,1,0,0,0,0,3,0,0,0,0,2,0,1,2,0,0,1,0,0,0,0,5,0,0,0,3,0,0,0,0,0,1,0
18,Long Branch,19,0,0,0,0,0,0,4,0,0,3,3,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,4,1,1,0,0,0,0,1,2,1,0,0,0,0,3,0,1,0,0,2,0,1,3,0,0,1,0,0,0,0,2,0,0,0,2,0,0,0,0,0,2,0
19,Alderwood,20,0,0,0,0,0,0,5,0,0,3,3,3,4,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,3,1,1,0,0,0,0,1,3,1,0,0,0,0,3,0,1,0,0,2,0,1,3,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0
20,Humber Summit,21,0,1,1,1,1,0,3,0,0,1,3,0,1,0,0,2,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,1,0,2,0,0,0,0,0,0,0,0,0,3,0,0,4,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,2,0,4,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,2,1,0
